name,price,size_mm,color,rpm,airflow_cfm,noise_level_db,pwm,original_price
NZXT Air Flow,0.0525957552131675,0.4210526315789473,Clear,0.1282051282051282,0.0004837913546089,0.3353846153846154,False,12.99
NZXT Air Flow,0.0525957552131675,0.4210526315789473,Clear,0.1282051282051282,0.0004837913546089,0.3353846153846154,False,32.20846315789474
NZXT Air Flow,0.0525957552131675,0.4210526315789473,Clear,0.1282051282051282,0.0004837913546089,0.3353846153846154,False,32.20846315789474
NZXT Air Flow,0.0525957552131675,0.4210526315789473,Clear,0.1282051282051282,0.0004837913546089,0.3353846153846154,False,32.20846315789474
NZXT Air Flow,0.0525957552131675,0.4210526315789473,Clear,0.1282051282051282,0.0004837913546089,0.3353846153846154,False,32.20846315789474
Thermaltake TOUGHFAN Turbo,0.0958480292061135,0.4210526315789473,Black,0.1666666666666666,0.0006007377172758,0.3553846153846154,True,19.98
Thermaltake CT120 EX ARGB Sync 3-Pack,0.3742961450405297,0.4210526315789473,Black,0.1346153846153846,0.0005603787444349,0.3615384615384615,True,64.98
Corsair AF120 (2018),0.1715145297809216,0.4210526315789473,Black / White,0.1538461538461538,0.000422693549242,0.3230769230769231,False,32.20846315789474
Corsair RS140 MAX 2-Pack,0.4980508631891592,0.5263157894736842,Black,0.1794871794871795,0.0002119525894798,0.4,True,84.98
Razer Kunai Chroma,0.5417362786956255,0.4210526315789473,Black,0.1474358974358974,0.0041659917874238,0.3119468851377357,True,57.63
Razer Kunai Chroma,0.5417362786956255,0.4210526315789473,Black,0.1474358974358974,0.0041659917874238,0.3119468851377357,True,92.04
Kingwin CF-08LB,0.0091578491429985,0.2105263157894736,Black,0.1923076923076923,0.0002333764058518,0.3076923076923077,False,5.97
ID-COOLING ZF-12025 Pastel,0.1715145297809216,0.4210526315789473,Green,0.1602564102564102,0.0004502305882806,0.3119468851377357,True,32.20846315789474
ID-COOLING ZF-12025 Pastel,0.1715145297809216,0.4210526315789473,Green,0.1602564102564102,0.0004502305882806,0.3119468851377357,True,32.20846315789474
ID-COOLING ZF-12025 Pastel,0.1715145297809216,0.4210526315789473,Green,0.1602564102564102,0.0004502305882806,0.3119468851377357,True,32.20846315789474
ID-COOLING ZF-12025 Pastel,0.1715145297809216,0.4210526315789473,Green,0.1602564102564102,0.0004502305882806,0.3119468851377357,True,32.20846315789474
Fractal Design Prisma AL,0.2387847286677804,0.7368421052631579,White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,31.52
